;;;weiblich;männlich;
1999;Krebs gesamt (C00-C97 ohne C44);0 - 4;355;438;
1999;Krebs gesamt (C00-C97 ohne C44);5 - 9;176;252;
1999;Krebs gesamt (C00-C97 ohne C44);10 - 14;216;230;
1999;Krebs gesamt (C00-C97 ohne C44);15 - 19;404;466;
1999;Krebs gesamt (C00-C97 ohne C44);20 - 24;778;715;
1999;Krebs gesamt (C00-C97 ohne C44);25 - 29;1.317;1.169;
1999;Krebs gesamt (C00-C97 ohne C44);30 - 34;3.071;2.231;
1999;Krebs gesamt (C00-C97 ohne C44);35 - 39;5.195;3.267;
1999;Krebs gesamt (C00-C97 ohne C44);40 - 44;6.994;4.274;
1999;Krebs gesamt (C00-C97 ohne C44);45 - 49;9.943;7.448;
1999;Krebs gesamt (C00-C97 ohne C44);50 - 54;11.564;10.164;
1999;Krebs gesamt (C00-C97 ohne C44);55 - 59;19.415;22.131;
1999;Krebs gesamt (C00-C97 ohne C44);60 - 64;24.413;33.312;
1999;Krebs gesamt (C00-C97 ohne C44);65 - 69;21.147;34.251;
1999;Krebs gesamt (C00-C97 ohne C44);70 - 74;26.614;34.884;
1999;Krebs gesamt (C00-C97 ohne C44);75 - 79;29.632;26.810;
1999;Krebs gesamt (C00-C97 ohne C44);80 - 84;16.195;12.075;
1999;Krebs gesamt (C00-C97 ohne C44);85+;26.507;14.294;
1999;Mundhöhle und Rachen (C00-C14);0 - 4;<5;<5;
1999;Mundhöhle und Rachen (C00-C14);5 - 9;<5;<5;
1999;Mundhöhle und Rachen (C00-C14);10 - 14;<5;<5;
1999;Mundhöhle und Rachen (C00-C14);15 - 19;16;11;
1999;Mundhöhle und Rachen (C00-C14);20 - 24;10;11;
1999;Mundhöhle und Rachen (C00-C14);25 - 29;6;12;
1999;Mundhöhle und Rachen (C00-C14);30 - 34;6;35;
1999;Mundhöhle und Rachen (C00-C14);35 - 39;77;152;
1999;Mundhöhle und Rachen (C00-C14);40 - 44;128;351;
1999;Mundhöhle und Rachen (C00-C14);45 - 49;170;764;
1999;Mundhöhle und Rachen (C00-C14);50 - 54;268;820;
1999;Mundhöhle und Rachen (C00-C14);55 - 59;299;1.314;
1999;Mundhöhle und Rachen (C00-C14);60 - 64;379;1.596;
1999;Mundhöhle und Rachen (C00-C14);65 - 69;288;937;
1999;Mundhöhle und Rachen (C00-C14);70 - 74;259;714;
1999;Mundhöhle und Rachen (C00-C14);75 - 79;234;448;
1999;Mundhöhle und Rachen (C00-C14);80 - 84;186;175;
1999;Mundhöhle und Rachen (C00-C14);85+;310;146;
1999;Speiseröhre (C15);0 - 4;<5;<5;
1999;Speiseröhre (C15);5 - 9;<5;<5;
1999;Speiseröhre (C15);10 - 14;<5;<5;
1999;Speiseröhre (C15);15 - 19;<5;<5;
1999;Speiseröhre (C15);20 - 24;<5;<5;
1999;Speiseröhre (C15);25 - 29;<5;<5;
1999;Speiseröhre (C15);30 - 34;<5;9;
1999;Speiseröhre (C15);35 - 39;11;35;
1999;Speiseröhre (C15);40 - 44;14;94;
1999;Speiseröhre (C15);45 - 49;39;239;
1999;Speiseröhre (C15);50 - 54;86;389;
1999;Speiseröhre (C15);55 - 59;130;639;
1999;Speiseröhre (C15);60 - 64;173;922;
1999;Speiseröhre (C15);65 - 69;116;673;
1999;Speiseröhre (C15);70 - 74;189;545;
1999;Speiseröhre (C15);75 - 79;196;359;
1999;Speiseröhre (C15);80 - 84;116;89;
1999;Speiseröhre (C15);85+;185;184;
1999;Magen (C16);0 - 4;<5;<5;
1999;Magen (C16);5 - 9;<5;<5;
1999;Magen (C16);10 - 14;<5;<5;
1999;Magen (C16);15 - 19;<5;<5;
1999;Magen (C16);20 - 24;6;<5;
1999;Magen (C16);25 - 29;23;17;
1999;Magen (C16);30 - 34;63;53;
1999;Magen (C16);35 - 39;112;122;
1999;Magen (C16);40 - 44;136;201;
1999;Magen (C16);45 - 49;236;339;
1999;Magen (C16);50 - 54;344;548;
1999;Magen (C16);55 - 59;479;925;
1999;Magen (C16);60 - 64;623;1.489;
1999;Magen (C16);65 - 69;830;1.646;
1999;Magen (C16);70 - 74;1.117;1.812;
1999;Magen (C16);75 - 79;1.751;1.391;
1999;Magen (C16);80 - 84;951;902;
1999;Magen (C16);85+;2.191;1.068;
1999;Dünndarm (C17);0 - 4;<5;<5;
1999;Dünndarm (C17);5 - 9;<5;<5;
1999;Dünndarm (C17);10 - 14;<5;<5;
1999;Dünndarm (C17);15 - 19;<5;<5;
1999;Dünndarm (C17);20 - 24;<5;<5;
1999;Dünndarm (C17);25 - 29;<5;<5;
1999;Dünndarm (C17);30 - 34;7;8;
1999;Dünndarm (C17);35 - 39;13;15;
1999;Dünndarm (C17);40 - 44;21;35;
1999;Dünndarm (C17);45 - 49;36;61;
1999;Dünndarm (C17);50 - 54;49;69;
1999;Dünndarm (C17);55 - 59;93;121;
1999;Dünndarm (C17);60 - 64;114;166;
1999;Dünndarm (C17);65 - 69;120;161;
1999;Dünndarm (C17);70 - 74;156;83;
1999;Dünndarm (C17);75 - 79;174;129;
1999;Dünndarm (C17);80 - 84;90;55;
1999;Dünndarm (C17);85+;69;49;
1999;Darm (C18-C20);0 - 4;<5;<5;
1999;Darm (C18-C20);5 - 9;<5;<5;
1999;Darm (C18-C20);10 - 14;<5;<5;
1999;Darm (C18-C20);15 - 19;38;18;
1999;Darm (C18-C20);20 - 24;44;33;
1999;Darm (C18-C20);25 - 29;75;25;
1999;Darm (C18-C20);30 - 34;74;100;
1999;Darm (C18-C20);35 - 39;177;212;
1999;Darm (C18-C20);40 - 44;266;366;
1999;Darm (C18-C20);45 - 49;555;929;
1999;Darm (C18-C20);50 - 54;924;1.250;
1999;Darm (C18-C20);55 - 59;1.817;2.993;
1999;Darm (C18-C20);60 - 64;2.696;4.616;
1999;Darm (C18-C20);65 - 69;2.948;5.063;
1999;Darm (C18-C20);70 - 74;4.934;5.165;
1999;Darm (C18-C20);75 - 79;6.136;4.219;
1999;Darm (C18-C20);80 - 84;3.478;1.888;
1999;Darm (C18-C20);85+;5.580;2.152;
1999;Anus u. Analkanal (C21);0 - 4;<5;<5;
1999;Anus u. Analkanal (C21);5 - 9;<5;<5;
1999;Anus u. Analkanal (C21);10 - 14;<5;<5;
1999;Anus u. Analkanal (C21);15 - 19;<5;<5;
1999;Anus u. Analkanal (C21);20 - 24;<5;<5;
1999;Anus u. Analkanal (C21);25 - 29;<5;<5;
1999;Anus u. Analkanal (C21);30 - 34;6;<5;
1999;Anus u. Analkanal (C21);35 - 39;17;15;
1999;Anus u. Analkanal (C21);40 - 44;31;27;
1999;Anus u. Analkanal (C21);45 - 49;62;47;
1999;Anus u. Analkanal (C21);50 - 54;89;48;
1999;Anus u. Analkanal (C21);55 - 59;141;84;
1999;Anus u. Analkanal (C21);60 - 64;160;53;
1999;Anus u. Analkanal (C21);65 - 69;146;81;
1999;Anus u. Analkanal (C21);70 - 74;84;77;
1999;Anus u. Analkanal (C21);75 - 79;72;51;
1999;Anus u. Analkanal (C21);80 - 84;82;30;
1999;Anus u. Analkanal (C21);85+;116;27;
1999;Leber (C22);0 - 4;<5;5;
1999;Leber (C22);5 - 9;<5;<5;
1999;Leber (C22);10 - 14;<5;<5;
1999;Leber (C22);15 - 19;<5;<5;
1999;Leber (C22);20 - 24;<5;<5;
1999;Leber (C22);25 - 29;<5;6;
1999;Leber (C22);30 - 34;11;12;
1999;Leber (C22);35 - 39;23;32;
1999;Leber (C22);40 - 44;34;40;
1999;Leber (C22);45 - 49;52;116;
1999;Leber (C22);50 - 54;60;258;
1999;Leber (C22);55 - 59;102;354;
1999;Leber (C22);60 - 64;180;590;
1999;Leber (C22);65 - 69;261;600;
1999;Leber (C22);70 - 74;441;731;
1999;Leber (C22);75 - 79;372;571;
1999;Leber (C22);80 - 84;214;183;
1999;Leber (C22);85+;404;194;
1999;Gallenblase und Gallenwege (C23-C24);0 - 4;<5;<5;
1999;Gallenblase und Gallenwege (C23-C24);5 - 9;<5;<5;
1999;Gallenblase und Gallenwege (C23-C24);10 - 14;<5;<5;
1999;Gallenblase und Gallenwege (C23-C24);15 - 19;<5;<5;
1999;Gallenblase und Gallenwege (C23-C24);20 - 24;<5;<5;
1999;Gallenblase und Gallenwege (C23-C24);25 - 29;<5;<5;
1999;Gallenblase und Gallenwege (C23-C24);30 - 34;5;7;
1999;Gallenblase und Gallenwege (C23-C24);35 - 39;14;15;
1999;Gallenblase und Gallenwege (C23-C24);40 - 44;20;24;
1999;Gallenblase und Gallenwege (C23-C24);45 - 49;46;51;
1999;Gallenblase und Gallenwege (C23-C24);50 - 54;49;76;
1999;Gallenblase und Gallenwege (C23-C24);55 - 59;113;140;
1999;Gallenblase und Gallenwege (C23-C24);60 - 64;363;228;
1999;Gallenblase und Gallenwege (C23-C24);65 - 69;350;271;
1999;Gallenblase und Gallenwege (C23-C24);70 - 74;557;331;
1999;Gallenblase und Gallenwege (C23-C24);75 - 79;774;289;
1999;Gallenblase und Gallenwege (C23-C24);80 - 84;542;163;
1999;Gallenblase und Gallenwege (C23-C24);85+;988;154;
1999;Bauchspeicheldrüse (C25);0 - 4;<5;<5;
1999;Bauchspeicheldrüse (C25);5 - 9;<5;<5;
1999;Bauchspeicheldrüse (C25);10 - 14;<5;<5;
1999;Bauchspeicheldrüse (C25);15 - 19;<5;<5;
1999;Bauchspeicheldrüse (C25);20 - 24;5;<5;
1999;Bauchspeicheldrüse (C25);25 - 29;<5;6;
1999;Bauchspeicheldrüse (C25);30 - 34;23;16;
1999;Bauchspeicheldrüse (C25);35 - 39;43;56;
1999;Bauchspeicheldrüse (C25);40 - 44;80;98;
1999;Bauchspeicheldrüse (C25);45 - 49;142;259;
1999;Bauchspeicheldrüse (C25);50 - 54;157;287;
1999;Bauchspeicheldrüse (C25);55 - 59;322;699;
1999;Bauchspeicheldrüse (C25);60 - 64;729;1.103;
1999;Bauchspeicheldrüse (C25);65 - 69;637;928;
1999;Bauchspeicheldrüse (C25);70 - 74;1.179;1.084;
1999;Bauchspeicheldrüse (C25);75 - 79;1.317;855;
1999;Bauchspeicheldrüse (C25);80 - 84;792;359;
