year,diagnosis,age_group,women,men
1999,Anus u. Analkanal (C21),0 - 4,1,1
1999,Anus u. Analkanal (C21),10 - 14,0,0
1999,Anus u. Analkanal (C21),15 - 19,2,2
1999,Anus u. Analkanal (C21),20 - 24,1,1
1999,Anus u. Analkanal (C21),25 - 29,2,1
1999,Anus u. Analkanal (C21),30 - 34,6,3
1999,Anus u. Analkanal (C21),35 - 39,17,15
1999,Anus u. Analkanal (C21),40 - 44,31,27
1999,Anus u. Analkanal (C21),45 - 49,62,47
1999,Anus u. Analkanal (C21),5 - 9,0,1
1999,Anus u. Analkanal (C21),50 - 54,89,48
1999,Anus u. Analkanal (C21),55 - 59,141,84
1999,Anus u. Analkanal (C21),60 - 64,160,53
1999,Anus u. Analkanal (C21),65 - 69,146,81
1999,Anus u. Analkanal (C21),70 - 74,84,77
1999,Anus u. Analkanal (C21),75 - 79,72,51
1999,Anus u. Analkanal (C21),80 - 84,82,30
1999,Anus u. Analkanal (C21),85+,116,27
1999,Auge (C69),0 - 4,23,20
1999,Auge (C69),10 - 14,0,1
1999,Auge (C69),15 - 19,2,0
1999,Auge (C69),20 - 24,3,0
1999,Auge (C69),25 - 29,2,0
1999,Auge (C69),30 - 34,6,12
1999,Auge (C69),35 - 39,11,9
1999,Auge (C69),40 - 44,17,17
1999,Auge (C69),45 - 49,31,24
1999,Auge (C69),5 - 9,0,5
1999,Auge (C69),50 - 54,26,32
1999,Auge (C69),55 - 59,38,50
1999,Auge (C69),60 - 64,42,62
1999,Auge (C69),65 - 69,66,53
1999,Auge (C69),70 - 74,56,55
1999,Auge (C69),75 - 79,55,38
1999,Auge (C69),80 - 84,31,18
1999,Auge (C69),85+,28,12
1999,Bauchspeicheldrüse (C25),0 - 4,0,0
1999,Bauchspeicheldrüse (C25),10 - 14,1,1
1999,Bauchspeicheldrüse (C25),15 - 19,0,0
1999,Bauchspeicheldrüse (C25),20 - 24,5,3
1999,Bauchspeicheldrüse (C25),25 - 29,0,6
